N,M,Area,Ejecucion(ms),Busqueda(h(t)),Movimientos,Giros
48,48,2304,55.2701,7607.416666666548,3028,1092
48,48,2304,98.3545,9456.749999999989,3707,1363
48,48,2304,12.2559,3501.4166666666906,1470,484
48,48,2304,121.959,11650.50000000015,4373,1774
48,48,2304,83.5479,9249.249999999958,3655,1345
48,48,2304,94.7405,10140.583333333367,3914,1485
48,48,2304,119.0395,10907.500000000082,4231,1626
48,48,2304,54.7082,7471.6666666665515,3044,1061
48,48,2304,49.7399,7090.166666666575,2799,1033
49,49,2401,130.9069,11934.166666666826,4469,1822
49,49,2401,40.3259,5725.916666666638,2342,815
49,49,2401,90.375,9663.166666666662,3721,1434
49,49,2401,9.7925,3196.000000000016,1343,443
49,49,2401,32.3569,5433.249999999976,2235,758
49,49,2401,2.2218,1351.7499999999986,575,187
49,49,2401,188.0303,13718.916666667035,5345,2003
49,49,2401,168.052,12984.666666667043,4979,1960
49,49,2401,143.1374,12025.9166666669,4669,1776
49,49,2401,35.7594,6131.333333333278,2458,876
50,50,2500,2.7978,1610.8333333333276,726,205
50,50,2500,100.0537,9660.666666666677,3820,1397
50,50,2500,23.6992,4750.916666666686,1996,669
50,50,2500,2.7499,1593.3333333333298,719,205
50,50,2500,1.176,1027.4166666666688,459,133
50,50,2500,28.7312,5425.166666666649,2247,737
50,50,2500,173.6688,13865.833333333754,5260,2099
50,50,2500,229.2247,15625.750000000546,5811,2373
50,50,2500,15.4601,3930.0833333333667,1605,561
50,50,2500,9.7864,3003.9166666666806,1265,414
51,51,2601,142.3084,12027.000000000186,4692,1762
51,51,2601,3.8114,2052.9999999999914,864,283
51,51,2601,185.9609,14171.333333333732,5363,2130
51,51,2601,23.0779,4999.583333333328,2029,703
51,51,2601,78.665,9085.499999999962,3485,1358
51,51,2601,235.5982,15898.0833333339,6006,2392
51,51,2601,39.6944,6472.4166666666,2611,931
51,51,2601,49.0161,7117.583333333231,2816,1049
51,51,2601,35.1434,6005.166666666593,2449,851
51,51,2601,170.936,14286.666666667048,5372,2166
52,52,2704,28.8334,5345.833333333327,2226,730
52,52,2704,19.0212,4201.333333333363,1795,571
52,52,2704,14.0677,3863.3333333333785,1565,563
52,52,2704,66.5078,8500.749999999862,3331,1249
